Updated: 2016/10/11
1961/01/01-00:00:00 : 1.422818
1961/08/01-00:00:00 : 1.372818
1962/01/01-00:00:00 : 1.845858
1963/11/01-00:00:00 : 1.945858
1964/01/01-00:00:00 : 3.24013
1964/04/01-00:00:00 : 3.34013
1964/09/01-00:00:00 : 3.44013
1965/01/01-00:00:00 : 3.54013
1965/03/01-00:00:00 : 3.64013
1965/07/01-00:00:00 : 3.74013
1965/09/01-00:00:00 : 3.84013
1966/01/01-00:00:00 : 4.31317
1968/02/01-00:00:00 : 4.21317
1972/01/01-00:00:00 : 10.0
1972/07/01-00:00:00 : 11.0
1973/01/01-00:00:00 : 12.0
1974/01/01-00:00:00 : 13.0
1975/01/01-00:00:00 : 14.0
1976/01/01-00:00:00 : 15.0
1977/01/01-00:00:00 : 16.0
1978/01/01-00:00:00 : 17.0
1979/01/01-00:00:00 : 18.0
1980/01/01-00:00:00 : 19.0
1981/07/01-00:00:00 : 20.0
1982/07/01-00:00:00 : 21.0
1983/07/01-00:00:00 : 22.0
1985/07/01-00:00:00 : 23.0
1988/01/01-00:00:00 : 24.0
1990/01/01-00:00:00 : 25.0
1991/01/01-00:00:00 : 26.0
1992/07/01-00:00:00 : 27.0
1993/07/01-00:00:00 : 28.0
1994/07/01-00:00:00 : 29.0
1996/01/01-00:00:00 : 30.0
1997/07/01-00:00:00 : 31.0
1999/01/01-00:00:00 : 32.0
2006/01/01-00:00:00 : 33.0
2009/01/01-00:00:00 : 34.0
2012/07/01-00:00:00 : 35.0
2015/07/01-00:00:00 : 36.0
2017/01/01-00:00:00 : 37.0
